index,Code,year,n_days,mean,std,min,max
87,1321A,2018,360,63.87,55.27,10.75,382.88
87,1321A,2019,364,58.65,50.34,7.58,273.75
88,1323A,2015,364,94.54,59.83,11.1,381.91
88,1323A,2016,366,75.67,66.73,13.88,578.3
88,1323A,2017,365,68.62,54.51,12.88,354.85
88,1323A,2018,359,64.77,52.07,5.9,364.21
88,1323A,2019,362,58.13,49.63,5.18,273.62
89,1324A,2015,347,94.97,59.79,10.1,380.81
89,1324A,2016,365,79.87,72.39,11.42,591.13
89,1324A,2017,365,66.05,60.12,7.12,367.96
89,1324A,2018,360,62.69,49.09,7.76,326.0
89,1324A,2019,362,59.75,50.53,5.75,283.08
90,1622A,2015,333,86.27,53.68,14.69,429.14
90,1622A,2016,254,74.98,47.95,14.0,333.0
90,1622A,2017,357,71.97,53.42,7.62,392.17
90,1622A,2018,360,55.1,38.39,5.21,240.29
90,1622A,2019,364,55.58,44.39,4.5,318.21
91,1623A,2015,363,105.71,72.93,17.33,561.7
91,1623A,2016,366,81.86,54.14,14.46,310.17
91,1623A,2017,164,86.66,56.95,15.83,279.17
92,1624A,2015,206,103.22,72.79,17.94,501.94
92,1624A,2016,361,81.31,54.71,9.67,347.09
92,1624A,2017,344,67.42,49.43,8.25,280.75
92,1624A,2018,354,55.21,39.28,6.14,242.58
92,1624A,2019,364,53.8,44.15,1.43,315.65
93,1625A,2015,356,104.41,65.87,18.25,593.43
93,1625A,2016,363,88.08,55.2,14.67,401.43
93,1625A,2017,364,72.9,45.45,8.92,306.46
93,1625A,2018,359,59.19,40.65,6.14,261.58
93,1625A,2019,363,58.07,41.14,6.0,247.04
94,1626A,2015,308,86.5,46.82,17.74,363.0
95,1627A,2015,359,96.15,64.66,12.42,568.57
95,1627A,2016,359,84.7,49.36,14.62,391.13
95,1627A,2017,365,71.38,46.76,7.53,340.36
95,1627A,2018,360,59.16,40.91,6.14,259.45
95,1627A,2019,48,106.06,57.7,19.33,250.08
96,1629A,2015,363,80.81,55.38,9.33,364.42
96,1629A,2016,358,74.92,41.1,9.36,215.76
96,1629A,2017,365,68.19,43.26,6.12,325.22
96,1629A,2018,360,56.45,38.78,6.05,263.21
96,1629A,2019,364,54.83,40.46,1.8,238.17
97,1630A,2015,364,77.8,51.75,8.43,352.62
97,1630A,2016,366,72.8,42.55,12.96,220.22
97,1630A,2017,364,63.7,40.87,6.04,296.89
97,1630A,2018,360,54.11,36.3,5.85,245.33
97,1630A,2019,364,52.12,38.86,2.0,212.25
98,1632A,2015,362,81.69,49.18,17.39,325.21
98,1632A,2016,359,64.43,38.35,17.54,309.65
98,1632A,2017,365,64.17,39.7,7.42,292.25
98,1632A,2018,360,57.81,41.31,9.67,268.58
98,1632A,2019,364,60.2,43.04,2.76,288.19
99,1633A,2015,363,86.22,55.36,15.65,494.25
99,1633A,2016,359,71.98,51.95,17.5,526.05
99,1633A,2017,364,64.53,48.86,14.38,466.43
99,1633A,2018,359,54.83,37.11,11.17,277.79
99,1633A,2019,364,59.24,38.23,3.26,249.87
100,1634A,2017,356,61.04,39.87,6.5,317.0
100,1634A,2018,360,51.09,37.55,7.86,257.54
100,1634A,2019,364,52.36,39.02,1.0,249.09
101,1635A,2015,363,89.04,50.13,17.09,421.54
101,1635A,2016,366,82.05,44.85,17.58,396.16
101,1635A,2017,365,75.42,47.76,9.29,313.17
101,1635A,2018,360,62.71,38.86,10.9,298.54
101,1635A,2019,364,61.46,42.63,7.96,273.09
102,1636A,2015,363,100.08,58.7,18.35,390.5
102,1636A,2016,359,82.83,49.23,13.54,415.22
102,1636A,2017,364,71.12,46.28,8.79,318.04
102,1636A,2018,360,55.22,35.97,8.39,251.58
102,1636A,2019,364,54.27,37.96,4.11,241.1
103,1653A,2015,363,77.2,45.72,15.54,368.21
